@relation dataset-weka.filters.unsupervised.attribute.AddValues-C10-L7-weka.filters.unsupervised.attribute.AddValues-C11-L7

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7}
@attribute outputs-2 {0,1,2,3,4,5,6,7}

@data
58,'2024/04/06 19:44:08:432',4,0.316728,-1,0.008547,0.001709,-0.973138,0.142613,?,?
59,'2024/04/06 19:44:08:536',4,0.316728,-1,0.008547,0.001709,-0.971184,0.142857,?,?
60,'2024/04/06 19:44:08:635',4,0.316728,-1,0.008547,0.001709,-0.971184,0.142613,?,?
61,'2024/04/06 19:44:08:734',4,0.317216,-1,0.008547,0.001709,-0.971184,0.142857,?,?
62,'2024/04/06 19:44:08:832',4,0.316728,-1,0.008547,0.000733,-0.973138,0.142369,?,?
63,'2024/04/06 19:44:08:931',4,0.316728,-1,0.008547,0.000733,-0.974115,0.142369,?,?
64,'2024/04/06 19:44:09:036',4,0.316728,-1,0.00757,0.001709,-0.971184,0.142613,?,?
65,'2024/04/06 19:44:09:135',4,0.318681,-1,0.00757,0.000733,-0.974115,0.142613,?,?
66,'2024/04/06 19:44:09:233',4,0.316728,-1,0.008547,0.001709,-0.971184,0.142369,?,?
67,'2024/04/06 19:44:14:434',5,0.318681,-1,0.008547,0.206349,-0.973626,0.101832,?,?
68,'2024/04/06 19:44:14:533',5,0.318681,-1,0.00757,0.206349,-0.974115,0.10232,?,?
69,'2024/04/06 19:44:14:632',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101587,?,?
70,'2024/04/06 19:44:14:736',5,0.318681,-1,0.008547,0.207326,-0.971184,0.101832,?,?
71,'2024/04/06 19:44:14:835',5,0.316728,-1,0.00757,0.206349,-0.971673,0.101832,?,?
72,'2024/04/06 19:44:14:934',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101832,?,?
73,'2024/04/06 19:44:15:032',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101832,?,?
74,'2024/04/06 19:44:15:137',5,0.318681,-1,0.00757,0.206349,-0.974115,0.101099,?,?
75,'2024/04/06 19:44:15:235',5,0.316728,-1,0.008547,0.206349,-0.974115,0.101099,?,?
76,'2024/04/06 19:44:15:334',5,0.318681,-1,0.00757,0.207326,-0.971184,0.101587,?,?
77,'2024/04/06 19:44:15:433',5,0.317216,-1,0.008547,0.206838,-0.971184,0.101587,?,?
78,'2024/04/06 19:44:15:531',5,0.318681,-1,0.00757,0.206838,-0.972161,0.101587,?,?
79,'2024/04/06 19:44:15:636',5,0.316728,-1,0.008547,0.206838,-0.971184,0.101832,?,?
80,'2024/04/06 19:44:15:735',5,0.316728,-1,0.008547,0.206838,-0.971184,0.101099,?,?
81,'2024/04/06 19:44:15:833',5,0.317216,-1,0.008547,0.207326,-0.971184,0.101343,?,?
82,'2024/04/06 19:44:15:932',5,0.316728,-1,0.008547,0.206838,-0.971673,0.101099,?,?
83,'2024/04/06 19:44:16:036',5,0.316728,-1,0.008547,0.206838,-0.971184,0.101099,?,?
84,'2024/04/06 19:44:16:135',5,0.31917,-1,0.00757,0.206349,-0.975092,0.101099,?,?
85,'2024/04/06 19:44:16:234',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101587,?,?
86,'2024/04/06 19:44:16:333',5,0.318681,-1,0.00757,0.206349,-0.971184,0.101587,?,?
87,'2024/04/06 19:44:16:431',5,0.316728,-1,0.008547,0.205372,-0.971184,0.101587,?,?
88,'2024/04/06 19:44:16:536',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101832,?,?
89,'2024/04/06 19:44:16:634',5,0.316728,-1,0.008547,0.207326,-0.971184,0.101587,?,?
90,'2024/04/06 19:44:16:733',5,0.316728,-1,0.008547,0.207326,-0.971673,0.101587,?,?
91,'2024/04/06 19:44:24:332',6,0.31917,-1,0.00757,-0.246886,-0.971184,0.061294,?,?
92,'2024/04/06 19:44:24:436',6,0.316728,-1,0.008547,-0.247863,-0.974115,0.060317,?,?
93,'2024/04/06 19:44:24:535',6,0.316728,-1,0.008547,-0.246886,-0.971184,0.061294,?,?
94,'2024/04/06 19:44:24:634',6,0.316728,-1,0.010989,-0.246886,-0.971673,0.061294,?,?
95,'2024/04/06 19:44:24:733',6,0.316728,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
96,'2024/04/06 19:44:24:837',6,0.316728,-1,0.008547,-0.247863,-0.974115,0.061294,?,?
97,'2024/04/06 19:44:24:936',6,0.318681,-1,0.00757,-0.247863,-0.975092,0.060806,?,?
98,'2024/04/06 19:44:25:034',6,0.318681,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
99,'2024/04/06 19:44:25:133',6,0.318681,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
100,'2024/04/06 19:44:25:232',6,0.316728,-1,0.008547,-0.246398,-0.974115,0.060317,?,?
101,'2024/04/06 19:44:25:336',6,0.318681,-1,0.008547,-0.246886,-0.971184,0.061294,?,?
102,'2024/04/06 19:44:25:435',6,0.317216,-1,0.008547,-0.246398,-0.971184,0.061294,?,?
103,'2024/04/06 19:44:25:533',6,0.316728,-1,0.008547,-0.246886,-0.971184,0.061294,?,?
104,'2024/04/06 19:44:25:632',6,0.316728,-1,0.008547,-0.247863,-0.974115,0.060317,?,?
105,'2024/04/06 19:44:25:737',6,0.318681,-1,0.00757,-0.246398,-0.971184,0.061294,?,?
106,'2024/04/06 19:44:25:835',6,0.316728,-1,0.008547,-0.247863,-0.974115,0.060317,?,?
107,'2024/04/06 19:44:25:934',6,0.318681,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
108,'2024/04/06 19:44:26:033',6,0.31917,-1,0.008547,-0.246886,-0.971184,0.061294,?,?
109,'2024/04/06 19:44:26:132',6,0.316728,-1,0.008547,-0.246886,-0.971673,0.061294,?,?
110,'2024/04/06 19:44:26:236',6,0.31917,-1,0.008547,-0.246886,-0.971184,0.060317,?,?
111,'2024/04/06 19:44:26:335',6,0.316728,-1,0.008547,-0.246886,-0.971184,0.060317,?,?
112,'2024/04/06 19:44:26:433',6,0.316728,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
113,'2024/04/06 19:44:26:532',6,0.316728,-1,0.008547,-0.246886,-0.971184,0.060317,?,?
114,'2024/04/06 19:44:26:636',6,0.316728,-1,0.00757,-0.247863,-0.974115,0.060317,?,?
115,'2024/04/06 19:44:33:533',7,0.318681,-1,0.00757,-0.284982,-0.975092,0.095726,?,?
116,'2024/04/06 19:44:33:631',7,0.31917,-1,0.00757,-0.284005,-0.971184,0.096215,?,?
117,'2024/04/06 19:44:33:736',7,0.318193,-1,0.00757,-0.284982,-0.975092,0.095726,?,?
118,'2024/04/06 19:44:33:835',7,0.318681,-1,0.00757,-0.284982,-0.974115,0.095726,?,?
119,'2024/04/06 19:44:33:933',7,0.316728,-1,0.008547,-0.284005,-0.972161,0.096215,?,?
120,'2024/04/06 19:44:34:032',7,0.316728,-1,0.008547,-0.283516,-0.971184,0.096459,?,?
121,'2024/04/06 19:44:34:136',7,0.316728,-1,0.008547,-0.283516,-0.972161,0.095726,?,?
122,'2024/04/06 19:44:34:235',7,0.316728,-1,0.008547,-0.283516,-0.971184,0.096215,?,?
123,'2024/04/06 19:44:34:334',7,0.316728,-1,0.00757,-0.284493,-0.975092,0.095726,?,?
124,'2024/04/06 19:44:34:432',7,0.318681,-1,0.00757,-0.284493,-0.974115,0.095726,?,?
125,'2024/04/06 19:44:34:531',7,0.318681,-1,0.00757,-0.284005,-0.972161,0.096215,?,?
126,'2024/04/06 19:44:34:636',7,0.316728,-1,0.008547,-0.283028,-0.974115,0.095726,?,?
127,'2024/04/06 19:44:34:734',7,0.318681,-1,0.00757,-0.283516,-0.972161,0.096215,?,?
128,'2024/04/06 19:44:34:833',7,0.316728,-1,0.008547,-0.283028,-0.971673,0.096215,?,?
129,'2024/04/06 19:44:34:932',7,0.318681,-1,0.00757,-0.283028,-0.971184,0.096215,?,?
130,'2024/04/06 19:44:35:036',7,0.316728,-1,0.008547,-0.283516,-0.971184,0.096215,?,?
131,'2024/04/06 19:44:35:135',7,0.316728,-1,0.00757,-0.284493,-0.974115,0.095726,?,?
132,'2024/04/06 19:44:35:234',7,0.317216,-1,0.008547,-0.284493,-0.975092,0.095726,?,?
133,'2024/04/06 19:44:35:332',7,0.316728,-1,0.00757,-0.284005,-0.975092,0.095971,?,?
134,'2024/04/06 19:44:35:437',7,0.318681,-1,0.00757,-0.284493,-0.975092,0.095726,?,?
135,'2024/04/06 19:44:35:535',7,0.318681,-1,0.008547,-0.283516,-0.971673,0.096215,?,?
136,'2024/04/06 19:44:35:634',7,0.316728,-1,0.00757,-0.284493,-0.975092,0.096215,?,?
137,'2024/04/06 19:44:35:733',7,0.316728,-1,0.009035,-0.283516,-0.972161,0.096215,?,?
138,'2024/04/06 19:44:35:832',7,0.317705,-1,0.008547,-0.283516,-0.975092,0.095482,?,?
139,'2024/04/06 19:44:35:936',7,0.316728,-1,0.008547,-0.283028,-0.975092,0.095726,?,?
140,'2024/04/06 19:44:36:035',7,0.31917,-1,0.00757,-0.284493,-0.972161,0.096215,?,?
141,'2024/04/06 19:44:36:133',7,0.31917,-1,0.00757,-0.284005,-0.975092,0.095726,?,?
142,'2024/04/06 19:44:36:232',7,0.316728,-1,0.008547,-0.284493,-0.975092,0.095726,?,?
143,'2024/04/06 19:44:36:336',7,0.31917,-1,0.00757,-0.284005,-0.974115,0.095726,?,?
144,'2024/04/06 19:44:36:435',7,0.316728,-1,0.008547,-0.283028,-0.971673,0.096459,?,?
145,'2024/04/06 19:44:36:534',7,0.316728,-1,0.009035,-0.283516,-0.971673,0.096215,?,?
146,'2024/04/06 19:44:36:633',7,0.318681,-1,0.009035,-0.283028,-0.971673,0.096459,?,?
147,'2024/04/06 19:44:36:731',7,0.316728,-1,0.00757,-0.284493,-0.975092,0.096215,?,?
148,'2024/04/06 19:45:43:036',8,0.316728,-1,0.008547,-0.33138,-0.971184,0.091819,?,?
149,'2024/04/06 19:45:43:135',8,0.316728,-1,0.00757,-0.332357,-0.974115,0.091575,?,?
150,'2024/04/06 19:45:43:233',8,0.316728,-1,0.009035,-0.331868,-0.971184,0.092063,?,?
151,'2024/04/06 19:45:43:332',8,0.318681,-1,0.00757,-0.332357,-0.974115,0.092063,?,?
152,'2024/04/06 19:45:43:436',8,0.318681,-1,0.00757,-0.332357,-0.975092,0.092063,?,?
153,'2024/04/06 19:45:43:535',8,0.318681,-1,0.00757,-0.332845,-0.974115,0.09304,?,?
154,'2024/04/06 19:45:43:634',8,0.316728,-1,0.00757,-0.332845,-0.975092,0.095726,?,?
155,'2024/04/06 19:45:43:733',8,0.317216,-1,0.008547,-0.350427,-0.971184,0.101587,?,?
156,'2024/04/06 19:45:43:831',8,0.316728,-1,0.008547,-0.371429,-0.975092,0.112088,?,?
157,'2024/04/06 19:45:43:936',8,0.316728,-1,0.008547,-0.372405,-0.971673,0.124786,?,?
158,'2024/04/06 19:45:44:034',8,0.316728,-1,0.008547,-0.373382,-0.971184,0.133333,?,?
159,'2024/04/06 19:45:44:133',8,0.318681,-1,0.00757,-0.459341,-0.973626,0.134066,?,?
160,'2024/04/06 19:45:44:232',8,0.316728,-1,0.008547,-0.576068,-0.974115,0.133822,?,?
161,'2024/04/06 19:45:44:336',8,0.316728,-1,0.008547,-0.687912,-0.950672,0.13431,?,?
162,'2024/04/06 19:45:44:435',8,0.318193,-1,0.008547,-0.738706,-0.891087,0.134554,?,?
163,'2024/04/06 19:45:44:534',8,0.316728,-1,0.008547,-0.768498,-0.816361,0.134066,?,?
164,'2024/04/06 19:45:44:632',8,0.316728,-1,0.00757,-0.784127,-0.80757,0.134066,?,?
165,'2024/04/06 19:45:44:737',8,0.316728,-1,0.00757,-0.786081,-0.802686,0.134066,?,?
166,'2024/04/06 19:45:44:835',8,0.318681,-1,0.00757,-0.787546,-0.803175,0.134799,?,?
167,'2024/04/06 19:45:44:934',8,0.316728,-1,0.008547,-0.784615,-0.800244,0.134554,?,?
168,'2024/04/06 19:45:45:033',8,0.318681,-1,0.00757,-0.788523,-0.799267,0.134066,?,?
169,'2024/04/06 19:45:45:132',8,0.316728,-1,0.008547,-0.785104,-0.806105,0.134066,?,?
170,'2024/04/06 19:45:45:236',8,0.317216,-1,0.008547,-0.776801,-0.80757,0.134554,?,?
171,'2024/04/06 19:45:45:335',8,0.316728,-1,0.008547,-0.733822,-0.84127,0.134554,?,?
172,'2024/04/06 19:45:45:433',8,0.316728,-1,0.008547,-0.668376,-0.891087,0.136508,?,?
173,'2024/04/06 19:45:45:532',8,0.316728,-1,0.008547,-0.599512,-0.969231,0.142125,?,?
174,'2024/04/06 19:45:45:637',8,0.316728,-1,0.008547,-0.530159,-0.973138,0.149451,?,?
175,'2024/04/06 19:45:45:735',8,0.316728,-1,0.00757,-0.501343,-0.973138,0.158486,?,?
176,'2024/04/06 19:45:45:834',8,0.318681,-1,0.00757,-0.498413,-0.974115,0.164835,?,?
177,'2024/04/06 19:45:45:933',8,0.316728,-1,0.008547,-0.497436,-0.971184,0.16801,?,?
178,'2024/04/06 19:45:46:031',8,0.316728,-1,0.008547,-0.497924,-0.971184,0.168498,?,?
179,'2024/04/06 19:45:46:136',8,0.31917,-1,0.008547,-0.489133,-0.971184,0.168987,?,?
180,'2024/04/06 19:45:46:234',8,0.316728,-1,0.008547,-0.488156,-0.971184,0.169719,?,?
181,'2024/04/06 19:45:46:333',8,0.316728,-1,0.00757,-0.489133,-0.973138,0.169719,?,?
182,'2024/04/06 19:45:46:432',8,0.320635,-1,0.00757,-0.489133,-0.971184,0.170452,?,?
183,'2024/04/06 19:45:46:536',8,0.316728,-1,0.008547,-0.442735,-0.971184,0.171429,?,?
184,'2024/04/06 19:45:46:635',8,0.316728,-1,0.008547,-0.329426,-0.974115,0.17094,?,?
185,'2024/04/06 19:45:46:734',8,0.318681,-1,0.00757,-0.274725,-0.974115,0.171184,?,?
186,'2024/04/06 19:45:46:832',8,0.316728,-1,0.008547,-0.172161,-0.971184,0.171184,?,?
187,'2024/04/06 19:45:46:937',8,0.316728,-1,0.008547,-0.014408,-0.973626,0.166056,?,?
188,'2024/04/06 19:45:47:036',8,0.318681,-1,0.00757,0.088645,-0.971184,0.164103,?,?
189,'2024/04/06 19:45:47:134',8,0.317216,-1,0.009035,0.248352,-0.971184,0.16044,?,?
190,'2024/04/06 19:45:47:233',8,0.318681,-1,0.008547,0.336264,-0.971184,0.152625,?,?
191,'2024/04/06 19:45:47:332',8,0.318681,-1,0.00757,0.396337,-0.974115,0.138706,?,?
192,'2024/04/06 19:45:47:436',8,0.316728,-1,0.008547,0.473016,-0.971673,0.116972,?,?
193,'2024/04/06 19:45:47:535',8,0.316728,-1,0.008547,0.484249,-0.971184,0.102564,?,?
194,'2024/04/06 19:45:47:633',8,0.316728,-1,0.008547,0.484737,-0.971184,0.091575,?,?
195,'2024/04/06 19:45:47:732',8,0.316728,-1,0.00757,0.483761,-0.971184,0.082051,?,?
196,'2024/04/06 19:45:47:837',8,0.318681,-1,0.00757,0.483272,-0.973626,0.075458,?,?
197,'2024/04/06 19:45:47:935',8,0.318681,-1,0.00757,0.253724,-0.971184,0.075214,?,?
198,'2024/04/06 19:45:48:034',8,0.316728,-1,0.008547,-0.185836,-0.971184,0.075458,?,?
199,'2024/04/06 19:45:48:133',8,0.316728,-1,0.008547,-0.428571,-0.971184,0.083028,?,?
200,'2024/04/06 19:45:48:231',8,0.316728,-1,0.008547,-0.607814,-0.969231,0.093284,?,?
201,'2024/04/06 19:45:48:336',8,0.318681,-1,0.008547,-0.690843,-0.896948,0.104029,?,?
202,'2024/04/06 19:45:48:435',8,0.316728,-1,0.00757,-0.708913,-0.877411,0.120147,?,?
203,'2024/04/06 19:45:48:533',8,0.316728,-1,0.008547,-0.707937,-0.875458,0.131624,?,?
204,'2024/04/06 19:45:48:632',8,0.316728,-1,0.00757,-0.708913,-0.876435,0.132357,?,?
205,'2024/04/06 19:45:48:736',8,0.316728,-1,0.008547,-0.684982,-0.881319,0.14359,?,?
206,'2024/04/06 19:45:48:835',8,0.318681,-1,0.00757,-0.648352,-0.910623,0.150916,?,?
207,'2024/04/06 19:45:48:934',8,0.316728,-1,0.00757,-0.620024,-0.922344,0.15116,?,?
208,'2024/04/06 19:45:49:032',8,0.318681,-1,0.00757,-0.550672,-0.969231,0.151648,?,?
209,'2024/04/06 19:45:49:131',8,0.318681,-1,0.00757,-0.50232,-0.974115,0.15116,?,?
210,'2024/04/06 19:45:49:236',8,0.318681,-1,0.00757,-0.419292,-0.971184,0.151648,?,?
211,'2024/04/06 19:45:49:334',8,0.316728,-1,0.008547,-0.367521,-0.971184,0.151648,?,?
212,'2024/04/06 19:45:49:433',8,0.318681,-1,0.00757,-0.317216,-0.971184,0.151648,?,?
213,'2024/04/06 19:45:49:532',8,0.316728,-1,0.008547,-0.27619,-0.971184,0.151404,?,?
214,'2024/04/06 19:45:49:636',8,0.316728,-1,0.008547,-0.174115,-0.971184,0.149695,?,?
215,'2024/04/06 19:45:49:735',8,0.316728,-1,0.009035,-0.017338,-0.971184,0.146764,?,?
216,'2024/04/06 19:45:49:834',8,0.316728,-1,0.008547,0.165324,-0.971184,0.14652,?,?
217,'2024/04/06 19:45:49:932',8,0.316728,-1,0.008547,0.250794,-0.971184,0.146276,?,?
218,'2024/04/06 19:45:50:037',8,0.316728,-1,0.008547,0.308913,-0.971184,0.146032,?,?
219,'2024/04/06 19:45:50:135',8,0.316728,-1,0.00757,0.356777,-0.974115,0.133333,?,?
220,'2024/04/06 19:45:50:234',8,0.316728,-1,0.008547,0.372405,-0.971184,0.112088,?,?
221,'2024/04/06 19:45:50:333',8,0.318681,-1,0.00757,0.377778,-0.974115,0.104762,?,?
222,'2024/04/06 19:45:50:432',8,0.316728,-1,0.008547,0.389011,-0.971184,0.098901,?,?
223,'2024/04/06 19:45:50:536',8,0.31917,-1,0.00757,0.391453,-0.974115,0.089621,?,?
224,'2024/04/06 19:45:50:635',8,0.318681,-1,0.00757,0.390965,-0.974115,0.079853,?,?
225,'2024/04/06 19:45:50:733',8,0.316728,-1,0.008547,0.393407,-0.971184,0.067399,?,?
226,'2024/04/06 19:45:50:832',8,0.316728,-1,0.008547,0.399267,-0.971184,0.054457,?,?
227,'2024/04/06 19:45:50:936',8,0.316728,-1,0.008547,0.203907,-0.971184,0.053236,?,?
228,'2024/04/06 19:45:51:035',8,0.318681,-1,0.00757,-0.135043,-0.973138,0.052503,?,?
229,'2024/04/06 19:45:51:134',8,0.316728,-1,0.008547,-0.327961,-0.971184,0.053236,?,?
230,'2024/04/06 19:45:51:233',8,0.316728,-1,0.008547,-0.456899,-0.973138,0.062271,?,?
231,'2024/04/06 19:45:51:331',8,0.318193,-1,0.00757,-0.554579,-0.973138,0.073504,?,?
232,'2024/04/06 19:45:51:436',8,0.318681,-1,0.00757,-0.640537,-0.95409,0.085958,?,?
233,'2024/04/06 19:45:51:534',8,0.318681,-1,0.00757,-0.670818,-0.923321,0.093773,?,?
234,'2024/04/06 19:45:51:633',8,0.316728,-1,0.00757,-0.683517,-0.910623,0.103541,?,?
235,'2024/04/06 19:45:51:732',8,0.316728,-1,0.008547,-0.681563,-0.912576,0.116728,?,?
236,'2024/04/06 19:45:51:836',8,0.318681,-1,0.00757,-0.68254,-0.912576,0.136508,?,?
237,'2024/04/06 19:45:51:935',8,0.318681,-1,0.00757,-0.681075,-0.910623,0.146764,?,?
238,'2024/04/06 19:45:52:034',8,0.316728,-1,0.008547,-0.652259,-0.912576,0.15409,?,?
239,'2024/04/06 19:45:52:132',8,0.318681,-1,0.00757,-0.584371,-0.9663,0.164347,?,?
240,'2024/04/06 19:45:52:237',8,0.318681,-1,0.00757,-0.52967,-0.973626,0.171673,?,?
241,'2024/04/06 19:45:52:335',8,0.316728,-1,0.009035,-0.49304,-0.971184,0.172405,?,?
242,'2024/04/06 19:45:52:434',8,0.318681,-1,0.008547,-0.424664,-0.971184,0.172161,?,?
243,'2024/04/06 19:45:52:533',8,0.316728,-1,0.00757,-0.317216,-0.973626,0.171917,?,?
244,'2024/04/06 19:45:52:632',8,0.316728,-1,0.008547,-0.254701,-0.971184,0.171917,?,?
245,'2024/04/06 19:45:52:736',8,0.316728,-1,0.008547,-0.175092,-0.971184,0.171673,?,?
246,'2024/04/06 19:45:52:835',8,0.318681,-1,0.00757,-0.087179,-0.974115,0.171673,?,?
247,'2024/04/06 19:45:52:933',8,0.317216,-1,0.008547,0.075458,-0.973626,0.170452,?,?
248,'2024/04/06 19:45:53:032',8,0.316728,-1,0.008547,0.379243,-0.971184,0.158974,?,?
249,'2024/04/06 19:45:53:137',8,0.318193,-1,0.00757,0.60293,-0.972161,0.144078,?,?
250,'2024/04/06 19:45:53:235',8,0.316728,-1,0.008547,0.61221,-0.971184,0.138217,?,?
251,'2024/04/06 19:45:53:334',8,0.316728,-1,0.008547,0.611233,-0.971673,0.138217,?,?
252,'2024/04/06 19:45:53:433',8,0.316728,-1,0.008547,0.631258,-0.971673,0.134066,?,?
253,'2024/04/06 19:45:53:531',8,0.316728,-1,0.008547,0.810501,-0.971184,0.125519,?,?
254,'2024/04/06 19:45:53:636',8,0.318681,-1,0.008547,0.871062,-0.96337,0.1221,?,?
255,'2024/04/06 19:45:53:734',8,0.316728,-1,0.00757,0.843223,-0.961416,0.115751,?,?
256,'2024/04/06 19:45:53:833',8,0.317216,-1,0.00757,0.43199,-0.845665,0.107692,?,?
257,'2024/04/06 19:45:53:932',8,0.316728,-1,0.00757,-0.095971,-0.786081,0.103785,?,?
258,'2024/04/06 19:45:54:036',8,0.316728,-1,0.008547,-0.695727,-0.790476,0.103541,?,?
259,'2024/04/06 19:45:54:135',8,0.318681,-1,0.008547,-0.838339,-0.797314,0.10232,?,?
260,'2024/04/06 19:45:54:234',8,0.318681,-1,0.00757,-0.830037,-0.789011,0.10232,?,?
261,'2024/04/06 19:45:54:332',8,0.318681,-1,0.00757,-0.827106,-0.76801,0.101587,?,?
262,'2024/04/06 19:45:54:437',8,0.318681,-1,0.00757,-0.815385,-0.77094,0.115751,?,?
